Iteration	Y	var_1
1.0	13.59375	0.142731463884
2.0	10.5625	0.0344627675957
3.0	12.8125	0.463717256078
4.0	14.46875	0.0312869571305
5.0	12.34375	0.11413010026
6.0	15.0625	0.678000764606
7.0	17.03125	0.678000764606
8.0	91.84375	0.991367096608
9.0	17.65625	0.853150869062
10.0	10.4375	0.302288129903
11.0	12.4375	0.0
12.0	260.0	1.0
13.0	12.875	0.535558528392
14.0	19.59375	0.886406461084
15.0	11.9375	0.312855663678
16.0	15.59375	0.773630048263
17.0	12.40625	0.0
18.0	11.4375	0.430846768263
19.0	260.0	1.0
20.0	15.34375	0.219054715976
21.0	12.9375	0.580276059957
22.0	21.9375	0.910635389767
23.0	12.53125	0.758599740633
24.0	13.8125	0.0
25.0	10.9375	0.113803052761
