Iteration	Y	var_1
1.0	19.21875	0.579060932861
2.0	14.0	0.591636867145
3.0	87.71875	0.983992601366
4.0	10.78125	0.226444441545
5.0	10.34375	0.203049676157
6.0	13.53125	0.0
7.0	18.8125	0.800938092635
8.0	11.65625	0.411701564551
9.0	18.40625	0.697327058738
10.0	13.75	0.0947234493202
11.0	17.03125	0.904192722818
12.0	9.875	0.3196721176
13.0	12.8125	0.492334862675
14.0	260.0	1.0
15.0	9.5	0.0528230314658
16.0	14.75	0.14270442611
17.0	25.59375	0.838437485747
18.0	16.875	0.0
19.0	13.21875	0.716962620073
20.0	25.0625	0.930815815017
21.0	12.4375	0.324493793139
22.0	11.71875	0.490448528225
23.0	15.625	0.401988285272
24.0	260.0	1.0
25.0	11.90625	0.644325317021
