Iteration	rbf.variance	rbf.lengthscale	Gaussian_noise.variance
1.0	2.33567258644e-08	5.6271502982	1.00000437304
2.0	2.33567258644e-08	5.6271502982	1.00000437304
3.0	2.33567258644e-08	5.6271502982	1.00000437304
4.0	2.33567258644e-08	5.6271502982	1.00000437304
5.0	3.40037504248	0.375842994816	0.044365592147
6.0	3.76945835668	0.216564063977	0.0076673705962
7.0	3.76945835668	0.216564063977	0.0076673705962
8.0	3.76945835668	0.216564063977	0.0076673705962
9.0	3.76945835668	0.216564063977	0.0076673705962
10.0	3.76945835668	0.216564063977	0.0076673705962
11.0	3.76945835668	0.216564063977	0.0076673705962
12.0	2.64730051004	0.207169942975	0.0118796683668
13.0	2.81045790021	0.207694653043	0.0112224655601
14.0	2.81045790021	0.207694653043	0.0112224655601
15.0	2.81045790021	0.207694653043	0.0112224655601
16.0	2.81045790021	0.207694653043	0.0112224655601
17.0	2.81045790021	0.207694653043	0.0112224655601
18.0	2.81045790021	0.207694653043	0.0112224655601
19.0	2.81045790021	0.207694653043	0.0112224655601
20.0	2.81045790021	0.207694653043	0.0112224655601
21.0	2.81045790021	0.207694653043	0.0112224655601
