Iteration	rbf.variance	rbf.lengthscale	Gaussian_noise.variance
1.0	17.3774112696	0.701925760934	0.000148366843737
2.0	17.3774112696	0.701925760934	0.000148366843737
3.0	17.3774112696	0.701925760934	0.000148366843737
4.0	17.3774112696	0.701925760934	0.000148366843737
5.0	17.3774112696	0.701925760934	0.000148366843737
6.0	17.3774112696	0.701925760934	0.000148366843737
7.0	17.3774112696	0.701925760934	0.000148366843737
8.0	17.3774112696	0.701925760934	0.000148366843737
9.0	0.789178013442	0.0776603496857	4.7587466416e-05
10.0	0.789178013442	0.0776603496857	4.7587466416e-05
11.0	0.789178013442	0.0776603496857	4.7587466416e-05
12.0	0.789178013442	0.0776603496857	4.7587466416e-05
13.0	0.789178013442	0.0776603496857	4.7587466416e-05
14.0	0.789178013442	0.0776603496857	4.7587466416e-05
15.0	0.789178013442	0.0776603496857	4.7587466416e-05
16.0	0.789178013442	0.0776603496857	4.7587466416e-05
17.0	0.789178013442	0.0776603496857	4.7587466416e-05
18.0	0.789178013442	0.0776603496857	4.7587466416e-05
19.0	0.789178013442	0.0776603496857	4.7587466416e-05
20.0	0.789178013442	0.0776603496857	4.7587466416e-05
21.0	0.789178013442	0.0776603496857	4.7587466416e-05
