Iteration	Y	var_1
1.0	22.5625	0.696635737958
2.0	14.125	0.072431026545
3.0	38.28125	0.728001189828
4.0	19.0	0.522013484787
5.0	30.34375	0.679893482147
6.0	260.0	0.999890377908
7.0	18.9375	0.272264554012
8.0	14.3125	0.0
9.0	60.59375	0.876534811846
10.0	16.78125	0.395418658366
11.0	20.90625	0.166231657754
12.0	28.03125	0.576141443278
13.0	260.0	1.0
14.0	74.3125	0.900893811218
15.0	17.96875	0.0
16.0	23.75	0.406027804524
17.0	33.5	0.803252101657
18.0	13.65625	0.259010271889
19.0	16.84375	0.102466666498
20.0	93.65625	0.945051895714
21.0	25.25	0.485496967208
22.0	16.4375	0.17956400762
23.0	31.53125	0.805504461709
24.0	14.28125	0.0551271213786
25.0	21.125	0.327652028517
