Iteration	Y	var_1
1.0	46.125	0.399209930424
2.0	103.3203125	0.898240497267
3.0	86.171875	0.877768475671
4.0	50.4609375	0.600384963083
5.0	46.46875	0.776101630745
6.0	39.4765625	0.0753688810287
7.0	49.046875	0.237553622217
8.0	260.0	1.0
9.0	39.9453125	0.499797448169
10.0	48.1875	0.688237651901
11.0	39.34375	0.0
12.0	42.1640625	0.156638878004
13.0	44.515625	0.318479500719
14.0	40.6796875	0.550028134208
15.0	143.9765625	0.949931427271
16.0	62.921875	0.826204377324
17.0	50.0546875	0.448597299965
18.0	46.71875	0.731326367757
19.0	43.21875	0.644197364656
20.0	38.1875	0.116078906093
21.0	44.8046875	0.278029505471
22.0	41.6796875	0.35880931768
23.0	32.5625	0.197102777604
24.0	35.0546875	0.0370627773328
25.0	112.1796875	0.92460085713
