Iteration	Y	var_1
1.0	43.5625	0.618385760924
2.0	41.25	0.442185010614
3.0	30.5625	0.46582305822
4.0	66.71875	0.776961369851
5.0	38.28125	0.446686248925
6.0	27.625	0.110144819066
7.0	158.53125	0.970061132415
8.0	34.875	0.270681865838
9.0	26.375	0.0
10.0	98.65625	0.87351125195
11.0	24.875	0.190413361303
12.0	49.0	0.69767338587
13.0	33.28125	0.348887132012
14.0	31.15625	0.547625950443
15.0	15.84375	0.0550670169337
16.0	102.40625	0.921786502446
17.0	75.21875	0.824788890091
18.0	29.28125	0.23054480017
19.0	41.46875	0.658053802587
20.0	30.46875	0.149435452506
21.0	24.53125	0.386862493132
22.0	55.03125	0.737927258614
23.0	260.0	1.0
24.0	33.78125	0.309575466353
25.0	39.46875	0.513368806865
