Iteration	rbf.variance	rbf.lengthscale	Gaussian_noise.variance
1.0	2.12963131987	0.320647191819	2.43002639495e-11
2.0	2.12963131987	0.320647191819	2.43002639495e-11
3.0	2.12963131987	0.320647191819	2.43002639495e-11
4.0	2.12963131987	0.320647191819	2.43002639495e-11
5.0	2.12963131987	0.320647191819	2.43002639495e-11
6.0	2.12963131987	0.320647191819	2.43002639495e-11
7.0	2.12963131987	0.320647191819	2.43002639495e-11
8.0	2.12963131987	0.320647191819	2.43002639495e-11
9.0	2.12963131987	0.320647191819	2.43002639495e-11
10.0	2.12963131987	0.320647191819	2.43002639495e-11
11.0	2.12963131987	0.320647191819	2.43002639495e-11
12.0	2.12963131987	0.320647191819	2.43002639495e-11
13.0	2.12963131987	0.320647191819	2.43002639495e-11
14.0	2.12963131987	0.320647191819	2.43002639495e-11
15.0	2.12963131987	0.320647191819	2.43002639495e-11
16.0	3.05760162324	0.183018574054	0.00805745292387
17.0	3.05760162324	0.183018574054	0.00805745292387
18.0	3.13450142444	0.179615078824	0.00856888269693
19.0	4.16535084216	0.196514160942	0.00959916418985
20.0	4.1343108927	0.193737965632	0.00958837633355
21.0	4.24929224934	0.193528878519	0.00988253597143
