Iteration	Y	var_1
1.0	10.1875	0.40687152163
2.0	12.8125	0.422346943009
3.0	11.09375	0.262302046723
4.0	18.3125	0.93368248213
5.0	12.1875	0.729541671974
6.0	6.9375	0.0
7.0	11.75	0.57886519595
8.0	10.75	0.130731230479
9.0	260.0	1.0
10.0	14.6875	0.831603546517
11.0	10.78125	0.653267155884
12.0	12.90625	0.516113493155
13.0	12.96875	0.0
14.0	11.09375	0.299300985636
15.0	15.9375	0.161408091276
16.0	260.0	1.0
17.0	12.25	0.831851275943
18.0	10.5	0.0776202790541
19.0	10.0625	0.71739183354
20.0	10.125	0.517117376908
21.0	13.4375	0.340697028629
22.0	11.6875	0.883877057017
23.0	12.90625	0.0328117608517
24.0	12.96875	0.777108282091
25.0	12.5	0.211586227583
